lable,date,open,high,low,close,volume,outstanding_share,turnover
0,2001/8/24 0:00,13.5,14.38,13.07,13.15,54550924,88000000,0.619896864
1,2001/8/27 0:00,12.88,13.05,12.41,12.58,9800994,88000000,0.111374932
2,2001/8/28 0:00,12.88,13.38,12.65,13.33,5119657,88000000,0.05817792
3,2001/8/29 0:00,13.35,13.5,13.1,13.23,5988569,88000000,0.06805192
4,2001/8/30 0:00,13.15,13.5,13.08,13.28,3466311,88000000,0.039389898
5,2001/8/31 0:00,13.31,13.41,13,13.04,1674001,88000000,0.019022739
6,2001/9/3 0:00,12.89,13.1,12.52,12.69,2005099,88000000,0.022785216
7,2001/9/4 0:00,12.65,13.22,12.61,13.15,2349977,88000000,0.026704284
8,2001/9/5 0:00,13.18,13.55,13.1,13.29,3555784,88000000,0.040406636
9,2001/9/6 0:00,13.29,13.36,13.06,13.22,1161529,88000000,0.013199193
10,2001/9/7 0:00,13.15,13.22,12.72,12.77,1850207,88000000,0.02102508
11,2001/9/10 0:00,12.51,13.79,12.5,13.79,5503096,88000000,0.062535182
12,2001/9/11 0:00,13.79,13.85,13.5,13.67,3724648,88000000,0.042325545
13,2001/9/12 0:00,13.3,13.89,13.07,13.79,4804011,88000000,0.054591034
14,2001/9/13 0:00,13.79,13.98,13.68,13.75,2699197,88000000,0.030672693
15,2001/9/14 0:00,13.71,13.85,13.41,13.44,1888307,88000000,0.021458034
16,2001/9/17 0:00,13.4,13.56,13.13,13.2,1316865,88000000,0.014964375
17,2001/9/18 0:00,13.25,13.6,13.19,13.48,831705,88000000,0.009451193
18,2001/9/19 0:00,13.28,13.68,13.25,13.63,745356,88000000,0.008469955
19,2001/9/20 0:00,13.68,13.78,13.46,13.5,952748,88000000,0.010826682
20,2001/9/21 0:00,13.45,13.59,13.25,13.45,652230,88000000,0.007411705
21,2001/9/24 0:00,13.27,13.52,13.19,13.26,669500,88000000,0.007607955
22,2001/9/25 0:00,13.3,13.5,13.27,13.34,408681,88000000,0.004644102
23,2001/9/26 0:00,13.3,13.34,13.05,13.1,1061974,88000000,0.012067886
24,2001/9/27 0:00,13.1,13.5,12.98,13.16,948442,88000000,0.01077775
25,2001/10/8 0:00,13.1,13.29,12.82,12.89,809505,88000000,0.00919892
26,2001/10/9 0:00,12.98,13.43,12.81,13.32,903125,88000000,0.010262784
27,2001/10/10 0:00,13.28,13.3,12.7,13,1558501,88000000,0.017710239
28,2001/10/11 0:00,12.74,13.15,12.5,12.85,2588888,88000000,0.029419182
29,2001/10/12 0:00,12.7,13.4,12.18,13.12,3176042,88000000,0.036091386
30,2001/10/15 0:00,13.11,13.26,12.9,13.06,1024350,88000000,0.011640341
31,2001/10/16 0:00,13.1,13.1,12.4,12.51,1808080,88000000,0.020546364
32,2001/10/17 0:00,12.4,12.57,12.15,12.29,875102,88000000,0.009944341
33,2001/10/18 0:00,12.1,12.35,11.64,11.84,2012888,88000000,0.022873727
34,2001/10/19 0:00,11.75,12,11.49,11.64,1205223,88000000,0.013695716
35,2001/10/22 0:00,11.5,11.75,11.2,11.25,984095,88000000,0.011182898
36,2001/10/23 0:00,12.38,12.38,12.38,12.38,1090796,88000000,0.012395409
